2026-04-09T13:02:00.718919300Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.29 time=2026-04-09T13:01:50Z
2026-04-09T13:02:00.718924076Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=25 price=82.29 allow=1 mode=breakout_continuation reclaimAge=2 ext21=0.074 hostile=0 reasons=na lastAction=none
2026-04-09T13:05:10.546815548Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.24 time=2026-04-09T13:05:01Z
2026-04-09T13:05:10.546820333Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=26 price=82.24 allow=0 mode=blocked reclaimAge=3 ext21=0.017 hostile=0 reasons=low_too_old,weak_reclaim_from_low,weak_impulse_from_low,weak_body,adx_too_low,no_fresh_reclaim,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:08:21.134628071Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.21 time=2026-04-09T13:08:17Z
2026-04-09T13:08:21.134637696Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=27 price=82.21 allow=0 mode=blocked reclaimAge=4 ext21=-0.015 hostile=0 reasons=low_too_old,no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,ema8_not_rising,not_above_ema8,rsi_too_low,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:11:40.927437758Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.17 time=2026-04-09T13:11:32Z
2026-04-09T13:11:40.927451164Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=28 price=82.17 allow=0 mode=blocked reclaimAge=5 ext21=-0.055 hostile=1 reasons=low_too_old,no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:14:51.678168103Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.22 time=2026-04-09T13:14:46Z
2026-04-09T13:14:51.678177749Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=29 price=82.22 allow=1 mode=breakout_continuation reclaimAge=0 ext21=0.004 hostile=0 reasons=na lastAction=none
2026-04-09T13:17:51.317059210Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.21 time=2026-04-09T13:17:47Z
2026-04-09T13:17:51.317066960Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=30 price=82.21 allow=0 mode=blocked reclaimAge=1 ext21=-0.008 hostile=0 reasons=low_too_old,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_not_rising,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:21:02.207294626Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.2 time=2026-04-09T13:21:01Z
2026-04-09T13:21:02.207299205Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=32 price=82.2 allow=0 mode=blocked reclaimAge=3 ext21=-0.017 hostile=0 reasons=low_too_old,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,no_fresh_reclaim,not_above_ema8,rsi_too_low,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:24:03.082705996Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.16 time=2026-04-09T13:24:01Z
2026-04-09T13:24:03.082714875Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=33 price=82.16 allow=0 mode=blocked reclaimAge=4 ext21=-0.057 hostile=1 reasons=low_too_old,no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:27:23.980059564Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.18 time=2026-04-09T13:27:16Z
2026-04-09T13:27:23.980066483Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=34 price=82.18 allow=0 mode=blocked reclaimAge=5 ext21=-0.035 hostile=1 reasons=low_too_old,no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,hostile_bear,not_above_ema8,rsi_too_low,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:30:23.862120773Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.3 time=2026-04-09T13:30:02Z
2026-04-09T13:30:23.862128843Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=35 price=82.3 allow=1 mode=early_breakout_launch reclaimAge=1 ext21=0.090 hostile=0 reasons=na lastAction=none
2026-04-09T13:33:35.066627489Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.14 time=2026-04-09T13:33:31Z
2026-04-09T13:33:35.066633787Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=36 price=82.14 allow=0 mode=blocked reclaimAge=2 ext21=-0.092 hostile=0 reasons=low_too_old,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,rsi_not_above_ma,fwo_not_rising,not_bull_candle,ema8_not_rising,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:36:35.671436521Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82.15 time=2026-04-09T13:36:31Z
2026-04-09T13:36:35.671441236Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=37 price=82.15 allow=0 mode=blocked reclaimAge=3 ext21=-0.069 hostile=0 reasons=weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,ema8_not_rising,fresh_low_after_reclaim,no_fresh_reclaim,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:39:46.953263492Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.93 time=2026-04-09T13:39:46Z
2026-04-09T13:39:46.953269588Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=38 price=81.93 allow=0 mode=blocked reclaimAge=4 ext21=-0.289 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:42:47.796715525Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=82 time=2026-04-09T13:42:46Z
2026-04-09T13:42:47.796720532Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=39 price=82 allow=0 mode=blocked reclaimAge=5 ext21=-0.183 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:46:08.567131119Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.96 time=2026-04-09T13:46:01Z
2026-04-09T13:46:08.567138488Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=40 price=81.96 allow=0 mode=blocked reclaimAge=6 ext21=-0.211 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:49:18.351267483Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.86 time=2026-04-09T13:49:16Z
2026-04-09T13:49:18.351276824Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=41 price=81.86 allow=0 mode=blocked reclaimAge=7 ext21=-0.290 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:52:39.393764626Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.78 time=2026-04-09T13:52:32Z
2026-04-09T13:52:39.393772078Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=42 price=81.78 allow=0 mode=blocked reclaimAge=8 ext21=-0.353 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_hold_continuation_clearance lastAction=none
2026-04-09T13:55:49.021982693Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.72 time=2026-04-09T13:55:46Z
2026-04-09T13:55:49.021989184Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=43 price=81.72 allow=0 mode=blocked reclaimAge=na ext21=-0.385 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,weak_body,not_above_ema18_21,rsi_too_low,rsi_not_rising,rsi_not_above_ma,fwo_not_recovered,fwo_not_rising,not_bull_candle,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=none
2026-04-09T13:59:10.023827974Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.85 time=2026-04-09T13:59:04Z
2026-04-09T13:59:10.023854358Z [inf]  📌 STATE BINANCE:SOLUSDT inPos=0 bars=44 price=81.85 allow=0 mode=blocked reclaimAge=na ext21=-0.198 hostile=1 reasons=no_fresh_reclaim,weak_reclaim_from_low,weak_impulse_from_low,not_above_ema18_21,rsi_too_low,fwo_not_recovered,fwo_not_rising,ema8_not_rising,hostile_bear,not_above_ema8,no_launch_break_flag,no_breakout_clearance,no_recent_reclaim,no_hold_continuation_clearance lastAction=none
2026-04-09T14:02:20.583962491Z [inf]  🟦 TICK(15s) BINANCE:SOLUSDT price=81.77 time=2026-04-09T14:02:17Z
