2026-04-08T12:22:23.204205762Z [inf]  ✅ RECOVERY_MIN_SCORE=5
2026-04-08T12:22:23.204212632Z [inf]  ✅ RECOVERY_MAX_NEAR_EMA8_PCT=0.2
2026-04-08T12:22:23.204217062Z [inf]  ✅ RECOVERY_MAX_NEAR_EMA18_PCT=0.28
2026-04-08T12:22:23.204332100Z [inf]  ✅ BrainPhase2_DemoLong_v3.7i listening on :8080
2026-04-08T12:22:23.204337270Z [inf]  🌍 PUBLIC_OUTBOUND_IP=162.220.234.138
2026-04-08T12:22:23.204342070Z [inf]  📚 MIN_BARS_FOR_SETUPS=8
2026-04-08T12:22:23.204347240Z [inf]  🧭 SYMBOL_BOT_MAP keys=1
2026-04-08T12:22:23.204352110Z [inf]  🐛 DEBUG=1
2026-04-08T12:22:23.204356890Z [inf]  🧾 TICK_LOG_EVERY_MS=180000
2026-04-08T12:22:23.204365570Z [inf]  🕒 RAY_SIGNAL_TTL_MS=900000
2026-04-08T12:22:23.204370640Z [inf]  🕒 FWO_SIGNAL_TTL_MS=900000
2026-04-08T12:22:23.204375410Z [inf]  ⏱️ BREAKOUT_MAX_AGE_MIN=12
2026-04-08T12:22:23.204381080Z [inf]  ⏱️ BREAKOUT_RETEST_MAX_MIN=4
2026-04-08T12:22:23.204386750Z [inf]  ⏱️ WASHOUT_MAX_AGE_MIN=12
2026-04-08T12:22:23.204391770Z [inf]  ⏱️ RECOVERY_MAX_AGE_MIN=6
2026-04-08T12:22:23.204396820Z [inf]  ✅ BREAKOUT_CONFIRM_BOUNCE_PCT_STRONG=0.08
2026-04-08T12:22:23.204401350Z [inf]  ✅ BREAKOUT_CONFIRM_BOUNCE_PCT_WEAK=0.12
2026-04-08T12:22:23.204406140Z [inf]  ✅ BREAKOUT_MIN_FLOW_SUPPORT=2
2026-04-08T12:22:23.204411260Z [inf]  ✅ BREAKOUT_B_FAIL_RESET_MIN=2.5
2026-04-08T12:22:23.204416069Z [inf]  ✅ BREAKOUT_B_FAIL_RESET_MAX_BOUNCE_PCT=0.05
2026-04-08T12:22:23.204486389Z [inf]  ✅ BREAKOUT_FAIL_CONFIRM_MAX=6
2026-04-08T12:22:23.204505158Z [inf]  ✅ BREAKOUT_FAIL_CONFIRM_NO_RECLAIM_MAX=4
2026-04-08T12:22:23.204510408Z [inf]  ✅ BREAKOUT_HARD_LATE_ENTRY_MIN=1
2026-04-08T12:22:23.204516088Z [inf]  ✅ BREAKOUT_HARD_LATE_NEAR_LEVEL_PCT=0.22
2026-04-08T12:22:23.204521528Z [inf]  ✅ BREAKOUT_B_MAX_NEAR_LEVEL_PCT=0.18
2026-04-08T12:22:23.204526748Z [inf]  ✅ BREAKOUT_B_LATE_ENTRY_MIN=0.3
2026-04-08T12:22:23.204531558Z [inf]  ✅ BREAKOUT_B_LATE_NEAR_LEVEL_PCT=0.14
2026-04-08T12:22:23.205513837Z [inf]  ✅ SHALLOW_RECOVERY_MIN_SCORE=6
2026-04-08T12:22:23.205526537Z [inf]  ✅ SHALLOW_RECOVERY_RSI_MIN=44
2026-04-08T12:22:23.205531937Z [inf]  ✅ SHALLOW_RECOVERY_ADX_MAX=28
2026-04-08T12:22:23.205538377Z [inf]  ✅ SHALLOW_RECOVERY_ATRPCT_MIN=0.07
2026-04-08T12:22:23.205543097Z [inf]  ✅ SHALLOW_RECOVERY_MAX_NEAR_EMA8_PCT=0.2
2026-04-08T12:22:23.205547697Z [inf]  ✅ SHALLOW_RECOVERY_MAX_NEAR_EMA18_PCT=0.3
2026-04-08T12:22:23.205553127Z [inf]  ✅ SHALLOW_RECOVERY_BOUNCE_MIN_PCT=0.015
2026-04-08T12:22:23.205558587Z [inf]  ✅ SHALLOW_RECOVERY_MIN_FLOW_SUPPORT=2
2026-04-08T12:22:23.205564836Z [inf]  ✅ SHALLOW_RECOVERY_ALLOW_SCORE9_FLOW1=1
2026-04-08T12:22:23.205570176Z [inf]  ✅ SHALLOW_RECOVERY_MOMENTUM_RSI_MIN=60
2026-04-08T12:22:23.205575696Z [inf]  ✅ SHALLOW_RECOVERY_MOMENTUM_MIN_SCORE=9
2026-04-08T12:22:23.205580906Z [inf]  ✅ SHALLOW_RECOVERY_MOMENTUM_MIN_FLOW=2
2026-04-08T12:22:23.205585016Z [inf]  ✅ BREAKOUT_PREMIUM_CONFIRM_ENABLE=1
2026-04-08T12:22:23.205589966Z [inf]  ✅ BREAKOUT_PREMIUM_MIN_SCORE=9
2026-04-08T12:22:23.205594046Z [inf]  ✅ RECOVERY_BOUNCE_MIN_PCT=0.02
2026-04-08T12:22:23.205597126Z [inf]  ✅ BREAKOUT_PREMIUM_MAX_NEAR_LEVEL_PCT=0.1
2026-04-08T12:22:23.205600826Z [inf]  ✅ RECOVERY_RSI_MIN=38
2026-04-08T12:22:23.205604696Z [inf]  ✅ BREAKOUT_PREMIUM_MIN_BOUNCE_PCT=0.01
2026-04-08T12:22:23.205610546Z [inf]  ✅ RECOVERY_ADX_MAX=28
2026-04-08T12:22:23.205614036Z [inf]  ✅ RECOVERY_ATRPCT_MIN=0.16
2026-04-08T12:22:23.205617536Z [inf]  ✅ RECOVERY_EARLY_TREND_ADX_MAX=32
2026-04-08T12:22:23.205620176Z [inf]  ✅ SHALLOW_RECOVERY_ENABLE=1
2026-04-08T12:22:23.205903532Z [inf]  ✅ C3_SYNC_ENABLE=1
2026-04-08T12:22:23.205911752Z [inf]  ✅ C3_SYNC_ON_STARTUP=1
2026-04-08T12:22:23.205915552Z [inf]  ✅ C3_SYNC_INTERVAL_SEC=180
2026-04-08T12:22:23.205919252Z [inf]  ✅ C3_SYNC_ONLY_IF_LOCAL_FLAT=1
2026-04-08T12:22:23.206681633Z [inf]  💰 BOT_MAX_NOTIONAL_USDT=3000
2026-04-08T12:22:23.206684103Z [inf]  🛡️ BASE_RISK_PCT=0.35
2026-04-08T12:22:23.206686613Z [inf]  🛡️ MIN_RISK_PCT=0.2
2026-04-08T12:22:23.206689243Z [inf]  🛡️ MAX_RISK_PCT=0.7
2026-04-08T12:22:23.206691743Z [inf]  📉 TREND_MIN_TRAIL_PCT=0.5
2026-04-08T12:22:23.206694903Z [inf]  ⏳ TREND_TIME_STOP_MIN=60
